id,area_sqft,bedrooms,bathrooms,age_years,basement,garage_spaces,lot_size_sqft,floors,neighborhood,year_sold,month_sold,sale_price
1757,3563,5,3,37,1,2,13996,1,East,2022,3,904000
1758,2091,3,2,39,1,2,4584,1,West,2021,1,310000
1759,1311,2,2,44,0,1,6112,1,East,2022,7,244000
1760,2037,4,2,17,1,3,4147,1,West,2023,2,389000
1761,2303,3,2,29,1,3,11136,1,North,2023,3,436000
1762,2611,5,3,2,1,3,11386,2,North,2023,6,674000
1763,1402,3,1,20,1,1,6164,1,Central,2021,5,283000
1764,2330,3,2,3,1,3,7053,1,South,2021,9,395000
1765,1354,2,1,11,1,2,5255,1,East,2022,12,329000
1766,1676,2,1,25,1,1,6552,2,Central,2022,6,369000
1767,3421,4,2,4,1,2,15456,2,East,2021,5,699000
1768,1683,3,2,2,1,0,7982,2,North,2021,1,396000
1769,1930,3,2,1,1,2,5267,2,Central,2022,12,486000
1770,2223,3,2,1,1,2,8980,1,North,2021,1,420000
1771,1752,3,1,1,1,2,10200,1,West,2021,1,306000
1772,2568,5,1,2,1,1,9377,1,South,2022,11,520000
1773,2630,5,3,3,1,2,15152,2,East,2022,10,739000
1774,3782,5,2,3,1,1,22560,2,East,2021,6,990000
1775,3140,4,3,50,0,3,13769,2,East,2022,9,659000
1776,2249,3,2,5,1,2,8828,1,West,2022,4,347000
1777,2200,4,2,2,1,0,6724,1,Central,2022,7,455000
1778,2162,3,2,19,1,1,7734,1,North,2021,1,350000
1779,1232,2,1,41,0,2,6837,1,Central,2022,3,174000
1780,2891,5,4,28,0,2,17107,1,North,2022,10,612000
1781,1511,2,1,4,1,2,6674,2,North,2022,5,375000
1782,4044,5,5,20,1,1,16136,2,Central,2023,1,929000
1783,1902,3,2,31,1,2,8889,2,East,2023,3,494000
1784,2065,3,2,32,1,1,8049,1,North,2022,7,394000
1785,2118,4,2,27,1,2,10959,2,East,2021,5,426000
1786,3120,4,3,42,1,3,17446,2,South,2022,10,533000
1787,2041,3,3,42,1,2,10204,2,East,2021,10,415000
1788,1702,3,3,21,1,0,6532,2,West,2022,3,321000
1789,1017,1,1,11,1,3,5087,1,Central,2021,11,326000
1790,2474,3,1,26,1,1,6633,1,North,2022,10,423000
1791,1570,2,2,38,1,2,7963,1,South,2021,11,214000
1792,3167,4,1,1,0,2,10999,3,North,2021,7,649000
1793,2499,3,2,50,0,1,9228,1,North,2021,1,266000
1794,2388,3,2,3,1,1,11046,2,Central,2022,9,502000
1795,1464,2,1,14,1,1,4362,1,Central,2021,5,287000
1796,1120,2,1,42,1,3,6673,1,West,2021,6,180000
1797,2941,4,3,3,0,3,6475,1,West,2021,7,460000
1798,1362,3,2,14,1,2,3561,1,Central,2021,6,317000
1799,1133,2,1,2,1,1,5697,1,North,2021,5,279000
1800,1323,2,1,9,1,3,4693,1,North,2021,5,245000
1801,3848,5,2,3,1,2,22917,3,South,2022,6,770000
1802,3348,5,3,6,1,2,18978,3,Central,2022,7,727000
1803,2065,4,2,7,1,2,7200,2,East,2021,4,515000
1804,1308,2,1,50,1,1,3371,1,East,2022,2,256000
1805,2026,3,1,50,0,2,6988,2,South,2022,10,266000
1806,3248,4,2,2,0,2,13407,1,West,2021,1,441000
1807,1698,2,2,32,0,2,8338,2,Central,2021,7,348000
1808,1220,3,1,2,1,3,6780,1,South,2023,3,300000
1809,1337,3,2,1,0,1,5292,1,West,2021,11,224000
1810,1220,2,1,2,0,2,4002,1,South,2023,4,257000
1811,2282,3,1,48,0,1,4660,2,West,2022,7,268000
1812,2762,5,1,46,0,2,16235,2,East,2023,4,627000
1813,1283,3,3,3,1,1,6462,1,South,2021,8,279000
1814,1056,1,1,3,0,1,5263,1,East,2023,3,312000
1815,1385,3,2,3,1,3,6432,1,North,2021,6,339000
1816,3569,5,2,17,1,1,9648,1,Central,2023,1,861000
1817,993,2,1,21,0,2,4721,1,Central,2021,6,208000
1818,3352,4,1,3,1,3,15452,2,East,2021,8,711000
1819,1688,2,2,34,1,2,5384,2,South,2021,6,276000
1820,1696,3,2,5,1,1,6521,1,West,2022,5,297000
1821,1342,3,1,45,0,1,4756,1,East,2021,5,229000
1822,998,1,1,27,1,3,5777,1,South,2021,8,173000
1823,2363,3,1,11,1,1,8650,2,North,2021,11,426000
1824,3257,4,4,36,0,2,15352,3,Central,2021,9,619000
1825,1982,4,4,38,0,2,11413,1,West,2021,5,274000
1826,2432,4,3,4,1,2,6648,2,Central,2021,10,536000
1827,1033,2,2,5,1,2,3631,1,East,2021,3,308000
1828,4070,5,5,46,1,1,12377,2,West,2023,2,633000
1829,2562,4,2,3,1,2,12273,2,East,2023,6,710000
1830,1500,3,3,1,0,2,7732,2,South,2022,2,343000
1831,4480,5,4,13,1,1,12626,3,Central,2023,5,1002000
1832,2176,4,2,37,1,1,7876,2,Central,2021,3,426000
1833,2176,4,1,35,1,2,12464,2,Central,2022,6,432000
1834,2838,4,1,45,1,2,6894,2,West,2021,8,373000
1835,3187,5,2,18,1,2,13680,2,West,2022,7,528000
1836,1726,2,2,2,1,2,4667,2,West,2022,6,363000
1837,1320,3,1,22,1,2,7719,1,Central,2022,10,306000
1838,1963,4,4,35,1,3,7391,2,East,2022,11,467000
1839,4395,5,1,2,1,2,15724,3,North,2021,3,882000
1840,1581,3,2,3,1,1,5047,2,West,2021,9,278000
1841,2369,3,3,1,1,1,6850,2,Central,2023,2,533000
1842,2034,4,3,22,1,2,11125,2,South,2022,7,408000
1843,2489,4,2,43,1,3,5358,1,West,2022,8,337000
1844,2339,3,3,28,0,1,7656,2,South,2022,10,364000
1845,3553,5,2,49,1,2,16053,1,Central,2022,9,829000
1846,1194,1,1,2,1,1,6384,1,West,2021,10,214000
1847,1514,2,1,44,1,1,5409,2,East,2022,7,294000
1848,1219,2,2,38,1,2,7275,1,West,2022,11,185000
1849,2861,5,3,5,0,0,8213,2,Central,2021,6,603000
1850,1707,2,2,49,1,2,3526,1,Central,2022,11,358000
1851,1491,3,2,4,0,3,6870,1,Central,2021,6,306000
1852,3020,4,4,43,0,3,8466,2,North,2021,8,563000
1853,2718,4,2,42,1,1,7013,2,North,2022,12,571000
1854,2659,4,2,34,1,2,15162,2,Central,2021,7,597000
1855,4173,5,4,20,1,3,21575,2,Central,2021,5,927000
1856,1393,3,2,2,1,0,3085,1,South,2021,6,234000
1857,2730,5,1,18,0,2,12872,2,North,2022,5,578000
1858,2468,4,1,6,1,3,8774,1,South,2023,1,466000
1859,2611,4,3,36,1,1,5811,1,South,2021,11,424000
1860,2859,4,2,34,0,3,11555,2,West,2022,3,460000
1861,3366,5,5,44,1,2,18447,3,North,2023,2,677000
1862,2170,3,1,1,1,0,12716,1,South,2023,5,385000
1863,1276,2,2,37,1,2,6685,1,Central,2022,2,256000
1864,1718,2,1,46,1,1,9255,2,North,2021,5,270000
1865,4281,6,4,36,1,1,9511,3,West,2022,9,683000
1866,3786,6,1,2,1,2,12122,1,South,2022,8,721000
1867,1487,2,1,2,1,2,8383,1,West,2022,8,289000
1868,1131,2,1,1,0,2,2751,1,North,2022,4,269000
1869,1339,3,1,25,1,0,3773,1,South,2021,3,223000
1870,3366,4,1,25,0,3,15537,2,East,2021,2,658000
1871,3075,5,2,50,1,2,15561,2,Central,2022,6,598000
1872,1536,3,2,9,1,3,8552,2,East,2022,12,391000
1873,2229,3,1,5,1,3,6200,1,North,2021,4,417000
1874,3192,4,2,24,0,1,18286,2,Central,2023,2,629000
1875,3159,5,1,38,1,0,15535,1,North,2022,6,524000
1876,2171,4,1,46,0,3,10843,2,Central,2022,2,378000
1877,1627,2,1,37,1,2,9720,2,South,2021,7,297000
1878,2224,3,3,11,1,1,10061,2,East,2021,5,485000
1879,1573,2,1,25,1,2,6948,2,North,2021,4,293000
1880,2450,3,3,41,0,0,8475,2,East,2021,9,373000
1881,2311,3,1,15,1,0,6101,1,East,2022,10,418000
1882,2774,5,3,3,1,2,15777,1,East,2021,8,689000
1883,1630,3,1,3,1,0,9042,2,North,2022,4,360000
1884,2685,4,3,1,1,3,13590,2,Central,2023,2,732000
1885,1179,2,1,31,0,3,5167,1,Central,2022,12,228000
1886,2320,3,1,2,1,2,10029,2,West,2021,11,370000
1887,1216,2,1,3,1,0,5078,1,East,2023,1,330000
1888,1247,3,1,4,1,1,4692,1,West,2022,11,252000
1889,2860,4,2,20,1,1,11083,1,North,2023,5,559000
1890,3507,5,1,9,0,2,7872,3,Central,2021,7,897000
1891,1085,1,1,28,1,1,3734,1,South,2021,3,131000
1892,2491,3,3,2,0,2,10131,2,West,2023,3,370000
1893,2647,4,2,2,1,2,11485,1,West,2021,9,480000
1894,1479,2,1,16,1,3,7515,1,West,2021,12,215000
1895,2274,3,1,5,1,3,8861,1,Central,2022,11,502000
1896,2911,4,2,4,1,2,17299,2,South,2022,1,565000
1897,1672,2,2,2,0,2,7981,1,West,2023,4,325000
1898,1045,1,1,43,0,1,5935,1,East,2021,11,147000
1899,2359,3,1,29,0,1,8343,2,North,2021,9,337000
1900,3149,5,3,2,0,3,15941,1,East,2022,4,710000
1901,1632,3,1,2,1,2,9337,2,Central,2021,5,420000
1902,993,2,1,49,0,1,3279,1,South,2021,6,122000
1903,3265,4,2,28,1,2,15721,1,East,2022,5,647000
1904,1443,2,2,10,1,3,3942,1,East,2021,1,348000
1905,2721,4,2,30,1,1,14389,2,West,2023,1,481000
1906,1285,3,2,34,1,1,5028,1,Central,2021,2,231000
1907,3930,5,2,35,1,3,8640,2,North,2023,6,854000
1908,2065,3,2,14,0,2,5181,1,East,2021,9,399000
1909,1950,4,3,11,1,2,5828,1,East,2022,6,488000
1910,1061,2,1,1,1,1,5415,1,South,2022,9,240000
1911,1979,4,1,45,1,3,10491,1,Central,2022,11,382000
1912,2820,4,1,23,0,3,8032,1,North,2022,10,548000
1913,4239,6,3,3,1,2,10660,1,North,2022,9,866000
1914,1933,4,3,45,0,0,7804,2,West,2022,5,282000
1915,2396,3,3,45,1,2,6661,1,South,2023,4,332000
1916,3465,5,4,50,1,1,18231,1,West,2021,9,402000
1917,3082,5,3,42,1,1,11350,1,Central,2023,3,610000
1918,2211,4,3,50,1,1,5807,1,South,2021,9,286000
1919,1687,2,1,3,1,0,5059,1,North,2021,6,350000
1920,1654,3,2,40,1,3,8321,1,North,2021,6,339000
1921,1760,3,1,38,0,0,9463,2,South,2022,11,225000
1922,1061,2,1,3,1,2,3340,1,South,2021,12,260000
1923,2373,4,4,2,1,1,8160,2,Central,2022,9,523000
1924,2233,3,2,49,0,2,8771,2,West,2022,12,281000
1925,2551,5,1,4,1,0,12175,1,North,2023,5,633000
1926,1590,2,1,42,0,2,7898,2,Central,2022,4,286000
1927,1684,3,2,1,0,2,10042,2,North,2021,7,401000
1928,1879,4,1,1,1,3,7713,1,West,2021,2,331000
1929,2054,3,2,14,1,2,5527,2,North,2021,8,395000
1930,1577,3,3,3,0,0,7099,1,North,2022,5,325000
1931,2035,3,2,29,1,0,7117,2,West,2021,9,278000
1932,2098,3,2,20,1,2,10258,2,East,2022,6,479000
1933,2222,4,2,2,0,1,7583,2,East,2023,5,492000
1934,2053,4,1,3,1,2,7503,2,East,2023,4,548000
1935,2025,4,1,8,1,3,4738,1,North,2022,1,470000
1936,2780,5,3,3,0,3,10405,2,West,2022,10,553000
1937,1120,2,1,36,1,3,6664,1,Central,2021,2,229000
1938,3274,5,1,10,0,3,11322,3,North,2022,6,671000
1939,2125,4,3,2,1,2,8992,1,South,2021,8,398000
1940,1016,2,1,15,1,2,2668,1,East,2023,3,330000
1941,1253,2,1,2,0,1,3609,1,West,2022,3,216000
1942,2041,4,3,2,1,3,7091,1,East,2023,5,533000
1943,2614,4,1,3,1,1,14459,2,West,2021,10,486000
1944,2791,5,1,41,1,2,13294,2,Central,2023,5,624000
1945,3195,4,3,45,1,1,10520,2,South,2021,8,457000
1946,2295,3,2,38,0,1,9090,1,East,2021,5,371000
1947,2208,3,1,5,1,2,4644,2,West,2023,1,389000
1948,1398,2,1,4,1,1,8322,1,East,2021,2,315000
1949,2140,3,2,19,1,2,8022,1,South,2023,2,378000
1950,2284,4,3,31,1,2,4620,1,West,2023,6,350000
1951,1215,3,1,50,1,2,5671,1,West,2021,2,205000
1952,946,2,1,2,1,1,4797,1,East,2022,2,279000
1953,1826,4,1,1,1,2,7646,2,South,2022,11,417000
1954,2905,5,3,29,1,3,15916,2,East,2021,1,688000
1955,4114,6,1,39,1,1,11146,3,Central,2023,5,887000
1956,3557,6,1,40,0,2,20323,3,Central,2022,10,836000
1957,1608,3,1,28,1,2,8344,1,West,2023,3,272000
1958,1810,4,2,47,1,3,6203,2,West,2022,7,358000
1959,1909,3,1,17,1,2,4915,2,North,2021,9,392000
1960,3469,5,4,45,1,1,18786,1,East,2021,1,634000
1961,1116,1,1,48,0,3,4585,1,North,2022,10,213000
1962,2386,3,2,40,1,3,9523,2,Central,2022,4,432000
1963,2641,5,2,5,0,2,9238,2,South,2022,5,552000
1964,2383,3,3,3,1,2,13285,1,West,2021,9,384000
1965,1862,3,2,19,1,2,6336,1,Central,2022,3,381000
1966,1897,4,4,13,1,2,10664,2,Central,2023,2,508000
1967,1235,3,2,42,1,2,5675,1,West,2022,11,213000
1968,1723,3,2,2,1,3,5515,2,East,2022,1,513000
1969,1608,3,1,4,1,3,9282,1,East,2022,5,468000
1970,1409,3,1,33,1,2,5131,1,South,2023,2,248000
1971,1340,2,1,2,0,3,6240,1,North,2022,1,283000
1972,2680,5,3,5,1,1,14477,1,North,2022,6,602000
1973,1032,2,2,8,1,1,4123,1,North,2021,12,292000
1974,1990,3,3,24,1,2,7262,1,Central,2022,8,410000
1975,1445,2,1,3,1,2,6796,1,North,2022,6,308000
1976,4221,6,1,41,1,1,13861,3,West,2022,3,649000
1977,1135,1,1,12,0,2,4335,1,North,2022,5,203000
1978,2113,4,3,45,0,0,5501,1,Central,2021,4,337000
1979,3073,4,1,14,1,2,12536,1,South,2023,1,504000
1980,3354,4,4,4,0,3,8085,3,East,2023,1,767000
1981,1584,3,1,2,0,2,3230,1,East,2023,1,342000
1982,3326,5,1,1,1,1,19489,2,Central,2021,11,641000
1983,1963,3,1,18,1,3,11767,2,South,2022,4,409000
1984,1674,3,1,2,1,2,9703,2,Central,2023,5,490000
1985,1306,2,1,8,0,3,6404,1,West,2021,8,236000
1986,943,1,1,22,1,2,2071,1,South,2021,8,195000
1987,2947,4,1,4,1,3,12334,1,North,2021,8,595000
1988,1620,2,1,3,1,3,9296,1,West,2021,12,309000
1989,2071,3,1,35,1,2,8119,1,South,2021,8,316000
1990,3444,5,4,47,1,1,12441,1,Central,2022,5,645000
1991,2580,5,2,2,1,2,8364,2,North,2021,8,594000
1992,1220,2,2,3,1,2,7005,1,West,2022,5,317000
1993,2190,3,3,48,1,2,7451,2,West,2023,2,310000
1994,1339,3,2,1,1,1,2814,1,West,2022,8,270000
1995,3088,4,1,49,0,2,14546,1,South,2021,2,392000
1996,2015,4,1,1,1,2,8406,1,Central,2021,7,454000
1997,4227,6,5,42,1,3,19452,2,West,2021,9,711000
1998,1555,3,3,5,1,2,5100,1,East,2022,7,407000
1999,1327,3,1,46,1,1,2709,1,West,2023,1,206000
2000,1196,2,1,5,1,1,2399,1,East,2023,2,351000
2001,1017,2,1,27,1,0,5713,1,Central,2022,8,231000
2002,1314,2,1,2,0,0,5550,1,Central,2021,10,232000
2003,3522,5,2,3,1,1,16629,3,South,2023,3,774000
2004,1232,3,2,35,1,2,4536,1,South,2022,11,235000
2005,1075,1,1,18,1,3,4706,1,Central,2021,2,239000
2006,3321,5,1,46,1,1,17318,3,South,2021,12,514000
2007,2233,3,2,11,1,2,6788,1,Central,2022,3,457000
2008,2972,5,5,41,1,2,11882,1,West,2022,9,444000
2009,1270,3,1,12,1,3,2943,1,North,2023,1,318000
2010,1691,2,1,49,1,3,4816,2,South,2021,10,282000
2011,1347,2,1,48,1,0,5557,1,East,2022,11,241000
2012,1008,2,2,5,1,1,5128,1,Central,2023,5,322000
2013,3750,5,4,43,1,0,15720,3,South,2022,4,691000
2014,1346,2,2,40,0,2,4989,1,South,2022,1,170000
2015,2204,3,3,3,1,2,6117,1,Central,2023,2,504000
2016,2011,4,4,24,1,1,7111,2,North,2021,4,413000
2017,2137,4,2,2,1,3,9693,2,East,2022,9,546000
2018,2581,5,5,39,1,2,9174,2,East,2021,6,653000
2019,1305,3,2,3,1,3,4335,1,North,2022,4,334000
2020,2492,3,2,2,0,0,14314,1,North,2023,1,440000
2021,3818,5,5,9,1,1,11209,3,South,2023,6,777000
2022,2364,4,4,21,1,1,12455,2,North,2022,6,439000
2023,3848,5,2,40,1,0,14509,3,East,2021,5,876000
2024,1126,1,1,49,1,2,5601,1,West,2021,6,140000
2025,1942,3,1,12,0,0,7056,2,West,2023,1,321000
2026,1072,2,1,2,0,2,3125,1,East,2022,11,257000
2027,2579,4,3,33,1,0,14985,1,South,2021,2,429000
2028,4023,5,5,20,1,1,17333,1,North,2022,4,835000
2029,1548,3,2,12,1,3,8424,2,South,2022,9,333000
2030,1717,2,1,5,1,3,4506,2,East,2022,10,476000
2031,1443,2,1,16,0,2,7880,1,Central,2022,2,250000
2032,2123,3,2,5,1,3,10125,2,South,2021,6,412000
2033,1799,2,1,34,1,2,10217,1,East,2021,10,342000
2034,4428,5,4,19,1,2,11871,2,West,2022,7,701000
2035,2395,3,1,42,1,3,5886,2,West,2021,2,308000
2036,1958,4,4,19,1,1,11159,2,Central,2023,6,507000
2037,1259,3,2,3,1,1,4255,1,North,2022,8,315000
2038,1560,3,2,40,0,2,4251,2,North,2023,3,306000
2039,1051,1,1,20,1,1,4140,1,South,2022,9,171000
2040,1141,1,1,3,1,1,3225,1,North,2021,12,244000
2041,2606,4,4,24,1,0,14448,1,East,2021,6,617000
2042,1750,3,2,6,1,2,6991,1,Central,2021,6,446000
2043,1863,3,2,40,1,2,5874,1,West,2021,9,236000
2044,1102,2,1,13,1,2,3584,1,North,2022,11,256000
2045,2678,4,3,32,1,3,8817,2,North,2021,5,584000
2046,3117,5,1,2,0,2,8286,1,Central,2023,2,694000
2047,1056,1,1,9,0,2,4647,1,East,2022,4,268000
2048,3279,5,4,49,0,3,6671,1,Central,2021,12,558000
2049,2378,3,1,37,1,3,13395,2,West,2022,3,322000
2050,1571,2,1,3,0,2,3166,1,Central,2021,4,294000
2051,1678,3,2,4,1,2,6532,1,Central,2023,6,468000
2052,1782,3,1,5,0,2,8921,2,East,2022,4,450000
2053,1543,2,2,26,1,2,3249,2,West,2023,1,267000
2054,4006,5,5,34,1,1,15674,2,East,2021,9,954000
2055,2976,4,1,33,1,2,16774,1,South,2022,4,460000
2056,2373,4,1,17,0,1,10096,2,South,2021,6,354000
2057,2178,3,3,37,0,0,5783,2,South,2021,2,247000
2058,2379,3,3,12,1,2,5481,1,North,2021,3,453000
2059,2194,3,2,2,1,3,7507,2,North,2022,5,475000
2060,2060,3,1,20,1,0,8960,2,East,2023,5,487000
2061,1597,2,1,47,1,1,6074,1,Central,2023,1,273000
2062,2179,4,3,36,1,2,12869,2,East,2022,12,451000
2063,3159,5,4,21,0,2,11494,2,East,2023,5,725000
2064,2251,4,1,26,1,1,4646,1,South,2021,1,357000
2065,1539,3,1,46,1,0,6356,2,North,2021,3,216000
2066,2831,5,2,11,0,2,14058,1,West,2021,4,472000
2067,1542,3,2,5,1,3,5039,1,Central,2022,4,383000
2068,1223,3,2,49,1,0,3007,1,South,2021,11,181000
2069,1054,2,1,41,1,1,4454,1,East,2022,10,232000
2070,2051,4,3,5,0,2,7704,1,West,2021,12,332000
2071,2570,5,4,13,1,1,8203,2,North,2021,12,639000
2072,2081,3,1,10,1,1,12294,2,South,2022,12,391000
2073,1352,3,1,2,0,2,3957,1,West,2022,2,248000
2074,3147,5,1,48,0,3,11780,2,West,2022,4,439000
2075,2811,5,1,9,1,1,7926,2,North,2022,4,601000
2076,3316,4,1,42,1,2,12484,1,South,2023,6,488000
2077,1181,2,2,3,1,1,4859,1,West,2021,10,252000
2078,2206,4,2,19,1,3,7501,2,South,2022,5,417000
2079,3558,5,2,1,1,0,13526,3,Central,2021,9,878000
2080,2861,4,3,34,1,2,9148,2,North,2022,1,565000
2081,1419,3,1,21,1,3,7080,1,North,2021,4,291000
2082,975,2,1,25,1,3,4613,1,South,2021,2,189000
2083,1918,3,3,2,1,2,6493,1,Central,2022,3,439000
2084,3973,5,3,3,1,1,18348,3,West,2022,4,693000
2085,2063,3,1,2,0,2,7114,2,Central,2023,1,495000
2086,1639,3,2,4,1,1,4041,1,East,2021,11,426000
2087,958,1,1,25,1,2,2349,1,Central,2023,6,260000
2088,1978,4,2,20,1,2,8954,2,Central,2021,11,426000
2089,3352,5,5,24,1,3,13880,3,South,2021,9,592000
2090,1894,4,3,19,1,2,11054,2,Central,2022,12,461000
2091,2579,5,1,4,1,2,7880,1,Central,2022,9,635000
2092,4161,5,3,3,1,3,21514,1,Central,2023,3,933000
2093,992,1,1,2,1,3,4368,1,Central,2022,9,324000
2094,2230,4,3,40,0,2,7941,2,West,2023,3,339000
2095,1508,2,2,24,1,2,8558,1,Central,2022,6,309000
2096,3020,5,2,3,1,2,8977,1,East,2022,8,733000
2097,1994,3,1,3,1,1,8490,2,West,2021,2,357000
2098,2074,4,3,42,1,1,5650,1,South,2023,3,330000
2099,3095,5,4,33,1,2,12118,2,West,2022,12,515000
2100,2168,3,2,27,1,1,8476,2,West,2022,5,344000
2101,4478,6,4,9,0,2,17614,2,West,2021,5,702000
2102,2411,4,1,4,1,2,7107,2,Central,2022,12,533000
2103,942,1,1,49,0,2,4296,1,East,2022,2,190000
2104,2061,4,4,36,1,0,4776,1,East,2022,5,443000
2105,3431,5,1,5,0,0,9912,2,North,2022,10,633000
2106,2430,4,1,40,1,1,7524,2,North,2022,5,401000
2107,3086,4,4,34,0,1,11789,3,West,2022,6,467000
2108,4168,6,3,4,1,3,14491,1,East,2023,5,1056000
2109,1092,2,1,11,1,1,6125,1,North,2023,1,278000
2110,3830,5,2,3,0,1,8773,3,South,2022,12,740000
2111,1519,2,1,2,1,0,8246,2,South,2022,6,279000
2112,1387,2,1,31,1,2,6218,1,West,2021,2,147000
2113,1413,2,1,4,1,2,8069,1,West,2021,8,260000
2114,2655,5,2,38,1,1,13338,1,North,2021,1,480000
2115,1664,2,1,50,1,3,8869,1,West,2023,4,244000
2116,1361,3,2,2,1,3,5275,1,South,2021,6,320000
2117,1706,3,2,14,1,1,5959,2,West,2021,10,329000
2118,2431,3,2,37,1,2,10624,1,North,2023,2,435000
2119,1251,3,2,36,1,2,5848,1,Central,2022,8,237000
2120,3232,4,2,34,1,1,17431,2,North,2023,5,604000
2121,2587,5,3,5,1,3,7460,2,West,2021,5,514000
2122,2117,3,2,13,0,1,10419,2,East,2021,8,452000
2123,4162,5,2,22,1,2,21875,3,North,2022,11,903000
2124,1777,2,1,49,1,2,3841,1,North,2022,11,280000
2125,3541,5,1,5,1,2,18115,2,South,2023,1,742000
2126,1854,3,2,45,0,3,10516,1,Central,2021,1,350000
2127,2325,3,2,4,0,1,7660,1,North,2021,1,380000
2128,1348,3,1,50,1,1,2762,1,West,2022,7,206000
2129,2950,4,3,28,1,2,9282,2,West,2021,8,453000
2130,2137,3,1,13,1,1,10594,2,South,2021,8,347000
2131,1435,3,2,24,1,0,5384,1,North,2021,11,228000
2132,1524,3,3,4,0,2,5363,1,Central,2021,5,324000
2133,1763,3,2,4,1,1,7408,1,South,2022,7,295000
2134,1973,3,3,2,1,1,6190,1,North,2022,5,426000
2135,2882,5,4,2,1,1,9482,1,West,2023,4,560000
2136,3440,5,2,5,1,0,14685,3,South,2021,5,544000
2137,1189,1,1,34,0,2,5096,1,East,2023,3,210000
2138,2897,4,4,23,0,0,9006,1,North,2021,11,536000
2139,1318,3,1,2,1,3,7515,1,Central,2022,12,380000
2140,3294,4,3,40,1,1,10414,2,East,2021,11,612000
2141,2847,5,3,23,1,2,7125,1,Central,2023,3,690000
2142,2296,3,1,48,0,3,10632,1,South,2022,12,296000
2143,3113,4,1,28,0,1,17055,1,South,2021,1,440000
2144,1654,3,2,3,1,2,3990,2,Central,2023,4,471000
2145,2409,4,3,14,1,3,6116,2,South,2021,7,461000
2146,3147,5,3,26,1,1,13973,3,East,2022,9,714000
2147,2263,4,2,1,0,3,6761,2,North,2022,10,473000
2148,1943,3,1,1,1,0,10751,1,Central,2021,7,411000
2149,1668,2,1,2,1,1,3705,2,North,2021,2,376000
2150,2838,5,4,4,1,2,16789,2,West,2023,3,538000
2151,1697,2,1,11,1,1,6152,1,East,2023,5,435000
2152,1471,3,2,15,1,2,4335,1,North,2021,8,294000
2153,3195,4,3,2,1,3,11142,3,North,2022,6,690000
2154,2896,4,2,28,0,3,14959,2,Central,2023,5,658000
2155,1190,1,1,23,1,2,6553,1,West,2021,1,227000
2156,1158,2,1,4,1,3,4022,1,West,2021,7,227000
2157,1572,2,1,1,1,2,9085,2,East,2023,2,409000
2158,2218,3,1,2,1,1,7219,1,South,2022,1,367000
2159,2495,4,1,8,1,2,14040,2,West,2021,10,434000
2160,2654,4,2,3,1,2,11521,2,West,2021,7,496000
2161,1942,4,1,7,1,2,8091,1,West,2021,4,353000
2162,1684,3,2,25,0,2,7209,1,South,2023,4,338000
2163,2197,3,2,19,1,2,13160,2,Central,2021,9,447000
2164,3180,5,4,3,1,2,8349,2,North,2022,3,684000
2165,1745,2,1,5,0,3,4787,2,North,2023,1,453000
2166,4439,5,2,24,1,2,21376,3,Central,2021,8,939000
2167,1959,4,2,41,0,1,8575,1,West,2021,4,215000
2168,1217,3,1,33,1,2,6894,1,South,2021,6,192000
2169,2272,4,1,20,0,1,9318,1,West,2022,12,294000
2170,2316,4,2,6,1,3,9821,2,East,2022,8,575000
2171,2279,3,2,7,1,0,11521,2,North,2022,1,468000
2172,1301,2,2,42,1,1,4294,1,West,2023,3,242000
2173,1032,1,1,1,0,0,4007,1,South,2022,12,173000
2174,3110,5,1,50,0,0,14326,1,North,2021,1,458000
2175,986,1,1,27,1,2,4149,1,South,2023,3,204000
2176,2818,5,1,28,1,1,14408,1,East,2023,3,646000
2177,1472,3,2,1,1,3,7576,1,North,2021,10,362000
2178,1986,3,1,23,0,2,11790,1,Central,2022,7,379000
2179,2259,4,3,15,1,1,8720,1,East,2022,6,512000
2180,2411,3,1,2,0,2,13882,1,South,2022,10,360000
2181,1937,4,3,4,1,2,5792,1,West,2023,5,415000
2182,1030,2,1,43,1,2,4482,1,Central,2023,1,234000
2183,1586,2,1,19,1,2,6146,1,West,2022,7,214000
2184,2320,4,2,10,1,1,6676,2,South,2021,4,374000
2185,2449,3,1,2,1,2,11179,2,North,2023,3,500000
2186,4470,5,3,31,1,1,18156,3,Central,2022,9,964000
2187,3257,5,4,30,1,2,9735,1,South,2022,7,523000
2188,3202,5,4,24,1,3,12005,1,North,2022,5,633000
2189,3435,4,1,17,1,1,12157,1,West,2022,12,477000
2190,2140,4,3,11,1,2,4513,1,North,2022,1,440000
2191,995,2,1,22,0,1,3978,1,Central,2022,8,208000
2192,4162,5,4,3,0,0,17803,2,Central,2023,5,928000
2193,2287,4,2,46,0,2,9135,1,West,2022,8,267000
2194,2034,4,4,22,0,2,10661,1,Central,2022,4,394000
2195,1420,3,2,5,0,2,8122,1,East,2021,8,304000
2196,1971,3,2,12,1,1,11637,2,West,2021,5,343000
2197,1619,3,1,37,0,3,8360,1,West,2022,12,259000
2198,2872,4,3,3,1,0,14406,2,North,2021,7,624000
2199,1917,3,1,4,1,1,9095,1,Central,2022,10,454000
2200,1785,2,2,28,0,3,5657,2,Central,2022,8,376000
2201,4474,5,2,5,0,3,26771,1,Central,2021,5,883000
2202,1119,1,1,36,0,2,5200,1,West,2023,6,144000
